BOROUGH,HOUR,Avg Collision Count,Percent Increase
BRONX,0,313,0.66
BRONX,1,154,0.32
BRONX,2,126,0.27
BRONX,3,111,0.23
BRONX,4,135,0.28
BRONX,5,134,0.28
BRONX,6,199,0.42
BRONX,7,324,0.68
BRONX,8,451,0.95
BRONX,9,307,0.65
BRONX,10,270,0.57
BRONX,11,326,0.69
BRONX,12,352,0.74
BRONX,13,332,0.7
BRONX,14,441,0.93
BRONX,15,452,0.95
BRONX,16,447,0.94
BRONX,17,473,1.0
BRONX,18,399,0.84
BRONX,19,399,0.84
BRONX,20,356,0.75
BRONX,21,320,0.67
BRONX,22,266,0.56
BRONX,23,212,0.45
BROOKLYN,0,633,1.33
BROOKLYN,1,326,0.69
BROOKLYN,2,274,0.58
BROOKLYN,3,233,0.49
BROOKLYN,4,296,0.62
BROOKLYN,5,323,0.68
BROOKLYN,6,426,0.9
BROOKLYN,7,596,1.26
BROOKLYN,8,960,2.02
BROOKLYN,9,837,1.76
BROOKLYN,10,767,1.62
BROOKLYN,11,757,1.59
BROOKLYN,12,817,1.72
BROOKLYN,13,872,1.84
BROOKLYN,14,977,2.06
BROOKLYN,15,1023,2.15
BROOKLYN,16,1084,2.28
BROOKLYN,17,1087,2.29
BROOKLYN,18,955,2.01
BROOKLYN,19,864,1.82
BROOKLYN,20,762,1.6
BROOKLYN,21,600,1.26
BROOKLYN,22,588,1.24
BROOKLYN,23,510,1.07
MANHATTAN,0,355,0.75
MANHATTAN,1,218,0.46
MANHATTAN,2,159,0.33
MANHATTAN,3,144,0.3
MANHATTAN,4,140,0.29
MANHATTAN,5,143,0.3
MANHATTAN,6,208,0.44
MANHATTAN,7,242,0.51
MANHATTAN,8,389,0.82
MANHATTAN,9,417,0.88
MANHATTAN,10,397,0.84
MANHATTAN,11,450,0.95
MANHATTAN,12,452,0.95
MANHATTAN,13,455,0.96
MANHATTAN,14,459,0.97
MANHATTAN,15,462,0.97
MANHATTAN,16,532,1.12
MANHATTAN,17,515,1.08
MANHATTAN,18,472,0.99
MANHATTAN,19,430,0.91
MANHATTAN,20,386,0.81
MANHATTAN,21,322,0.68
MANHATTAN,22,339,0.71
MANHATTAN,23,279,0.59
QUEENS,0,502,1.06
QUEENS,1,339,0.71
QUEENS,2,251,0.53
QUEENS,3,277,0.58
QUEENS,4,310,0.65
QUEENS,5,296,0.62
QUEENS,6,411,0.87
QUEENS,7,512,1.08
QUEENS,8,749,1.58
QUEENS,9,607,1.28
QUEENS,10,531,1.12
QUEENS,11,551,1.16
QUEENS,12,602,1.27
QUEENS,13,614,1.29
QUEENS,14,766,1.61
QUEENS,15,746,1.57
QUEENS,16,763,1.61
QUEENS,17,819,1.72
QUEENS,18,776,1.63
QUEENS,19,734,1.55
QUEENS,20,584,1.23
QUEENS,21,533,1.12
QUEENS,22,491,1.03
QUEENS,23,420,0.88
STATEN ISLAND,0,71,0.15
STATEN ISLAND,1,33,0.07
STATEN ISLAND,2,41,0.09
STATEN ISLAND,3,44,0.09
STATEN ISLAND,4,26,0.05
STATEN ISLAND,5,45,0.09
STATEN ISLAND,6,47,0.1
STATEN ISLAND,7,96,0.2
STATEN ISLAND,8,140,0.29
STATEN ISLAND,9,99,0.21
STATEN ISLAND,10,89,0.19
STATEN ISLAND,11,88,0.19
STATEN ISLAND,12,98,0.21
STATEN ISLAND,13,99,0.21
STATEN ISLAND,14,145,0.31
STATEN ISLAND,15,151,0.32
STATEN ISLAND,16,135,0.28
STATEN ISLAND,17,135,0.28
STATEN ISLAND,18,121,0.25
STATEN ISLAND,19,95,0.2
STATEN ISLAND,20,79,0.17
STATEN ISLAND,21,70,0.15
STATEN ISLAND,22,63,0.13
STATEN ISLAND,23,59,0.12
